id_x,names,type,crosses,breeder,effects,ailment,flavor,name,category,THC-Total,CBD-Total
3396,Gorilla Diesel,Hybrid,,Unknown Breeder,,,,Gorilla Diesel - Shatter,"Concentrate,Shatter,",,
3397,Panama Kush,Hybrid,,Unknown Breeder,,,,,,,
3398,Redwood OG,Hybrid,,Unknown Breeder,,,,,,,
3399,Purple Panorama,Hybrid,,Unknown Breeder,,,,,,,
3400,Panorama Purple,Hybrid,,Unknown Breeder,,,,,,,
3401,Purple Pantera,Hybrid,,SnowHigh Seeds,,,,,,,
3402,Fruitloops,Hybrid,,AliGee Seed Co.,,,,Fruitloops - Shatter,"Concentrate,Shatter,",,
3403,Tropicoma,Hybrid,,Golden Lion Genetics,,,,,,,
3404,Limelight,Hybrid,,Unknown Breeder,,,,,,,
3405,Alien Sour Apple,Hybrid,,Franchise Genetics,,,,,,,
